Year,State,Total Population,Poverty,Median Age,Unemployed Civilians,Median Household Income,Per Capita Income,% in Poverty,% in Unemployed
2009,Alabama,4633360.0,757833.0,37.2,0.0,41216.0,22732.0,16.36,0.0
2009,Alaska,683142.0,64038.0,32.7,0.0,64635.0,29382.0,9.37,0.0
2009,Arizona,6324865.0,914040.0,34.8,0.0,50296.0,25203.0,14.45,0.0
2009,Arkansas,2838143.0,488788.0,36.9,0.0,38542.0,20977.0,17.22,0.0
2009,California,36308527.0,4694423.0,34.6,0.0,60392.0,29020.0,12.93,0.0
2009,Colorado,4843211.0,563574.0,35.5,0.0,56222.0,29679.0,11.64,0.0
2009,Connecticut,3494487.0,295608.0,39.0,0.0,67721.0,36468.0,8.46,0.0
2009,Delaware,863832.0,88505.0,37.8,0.0,57618.0,28935.0,10.25,0.0
2009,Florida,18222420.0,2346946.0,39.7,0.0,47450.0,26503.0,12.88,0.0
2009,Georgia,9497667.0,1384518.0,34.5,0.0,49466.0,25098.0,14.58,0.0
2009,Hawaii,1280241.0,117745.0,37.5,0.0,64661.0,28662.0,9.2,0.0
2009,Idaho,1492573.0,196121.0,34.0,0.0,46183.0,22262.0,13.14,0.0
2009,Illinois,12785043.0,1549172.0,35.9,0.0,55222.0,28469.0,12.12,0.0
2009,Indiana,6342469.0,810520.0,36.4,0.0,47465.0,24044.0,12.78,0.0
2009,Iowa,2978880.0,326922.0,37.9,0.0,48052.0,25060.0,10.97,0.0
2009,Kansas,2777835.0,328843.0,35.9,0.0,48394.0,25522.0,11.84,0.0
2009,Kentucky,4252000.0,719746.0,37.3,0.0,41197.0,22284.0,16.93,0.0
2009,Louisiana,4411546.0,789634.0,35.5,0.0,42167.0,22535.0,17.9,0.0
2009,Maine,1316380.0,161582.0,41.4,0.0,46541.0,24980.0,12.27,0.0
2009,Maryland,5637418.0,449770.0,37.3,0.0,69475.0,34236.0,7.98,0.0
2009,Massachusetts,6511176.0,633667.0,38.5,0.0,64496.0,33460.0,9.73,0.0
2009,Michigan,10039208.0,1417380.0,37.7,0.0,48700.0,25172.0,14.12,0.0
2009,Minnesota,5188581.0,506233.0,37.0,0.0,57007.0,29431.0,9.76,0.0
2009,Mississippi,2922240.0,604204.0,35.0,0.0,36796.0,19534.0,20.68,0.0
2009,Missouri,5904382.0,784278.0,37.3,0.0,46005.0,24423.0,13.28,0.0
2009,Montana,956257.0,136969.0,39.0,0.0,43089.0,22881.0,14.32,0.0
2009,Nebraska,1772124.0,201851.0,35.9,0.0,47995.0,24568.0,11.39,0.0
2009,Nevada,2545763.0,278516.0,35.3,0.0,55585.0,27395.0,10.94,0.0
2009,New Hampshire,1315419.0,98780.0,39.6,0.0,63033.0,30640.0,7.51,0.0
2009,New Jersey,8650548.0,745925.0,38.3,0.0,68981.0,34566.0,8.62,0.0
2009,New Mexico,1964860.0,347165.0,35.5,0.0,42742.0,22461.0,17.67,0.0
2009,New York,19423896.0,2615897.0,37.7,0.0,55233.0,30634.0,13.47,0.0
2009,North Carolina,9045705.0,1320816.0,36.6,0.0,45069.0,24547.0,14.6,0.0
2009,North Dakota,639725.0,75114.0,36.6,0.0,45140.0,24978.0,11.74,0.0
2009,Ohio,11511858.0,1526350.0,37.9,0.0,47144.0,24830.0,13.26,0.0
2009,Oklahoma,3610073.0,572111.0,35.9,0.0,41861.0,22561.0,15.85,0.0
2009,Oregon,3727407.0,496433.0,37.7,0.0,49033.0,25893.0,13.32,0.0
2009,Pennsylvania,12516596.0,1462191.0,39.6,0.0,49737.0,26678.0,11.68,0.0
2009,Rhode Island,1057381.0,118618.0,38.6,0.0,55569.0,28638.0,11.22,0.0
2009,South Carolina,4416867.0,676555.0,37.2,0.0,43572.0,23196.0,15.32,0.0
2009,South Dakota,796513.0,103752.0,37.0,0.0,44828.0,23445.0,13.03,0.0
2009,Tennessee,6158953.0,967189.0,37.3,0.0,42943.0,23557.0,15.7,0.0
2009,Texas,23819042.0,3892532.0,33.0,0.0,48199.0,24318.0,16.34,0.0
2009,Utah,2651816.0,271944.0,28.5,0.0,55642.0,22684.0,10.26,0.0
2009,Vermont,620414.0,65749.0,40.6,0.0,51284.0,27036.0,10.6,0.0
2009,Virginia,7721730.0,752446.0,36.7,0.0,60316.0,31606.0,9.74,0.0
2009,Washington,6465755.0,749120.0,36.8,0.0,56384.0,29320.0,11.59,0.0
2009,West Virginia,1811403.0,310368.0,40.4,0.0,37356.0,20891.0,17.13,0.0
2009,Wisconsin,5599420.0,605566.0,37.8,0.0,51569.0,26447.0,10.81,0.0
2009,Wyoming,523949.0,49051.0,36.7,0.0,51990.0,26925.0,9.36,0.0
2010,Alabama,4712651.0,786544.0,37.5,0.0,42081.0,22984.0,16.69,0.0
2010,Alaska,691189.0,64245.0,33.8,0.0,66521.0,30726.0,9.29,0.0
2010,Arizona,6246816.0,933113.0,35.5,0.0,50448.0,25680.0,14.94,0.0
2010,Arkansas,2872684.0,502684.0,37.2,0.0,39267.0,21274.0,17.5,0.0
2010,California,36637290.0,4919945.0,34.9,0.0,60883.0,29188.0,13.43,0.0
2010,Colorado,4887061.0,584184.0,35.8,0.0,56456.0,30151.0,11.95,0.0
2010,Connecticut,3545837.0,314306.0,39.5,0.0,67740.0,36775.0,8.86,0.0
2010,Delaware,881278.0,93857.0,38.3,0.0,57599.0,29007.0,10.65,0.0
2010,Florida,18511620.0,2502365.0,40.3,0.0,47661.0,26551.0,13.52,0.0
2010,Georgia,9468815.0,1445752.0,35.0,0.0,49347.0,25134.0,15.27,0.0
2010,Hawaii,1333591.0,124627.0,38.2,0.0,66420.0,28882.0,9.35,0.0
2010,Idaho,1526797.0,203177.0,34.4,0.0,46423.0,22518.0,13.31,0.0
2010,Illinois,12745359.0,1572048.0,36.2,0.0,55735.0,28782.0,12.33,0.0
2010,Indiana,6417398.0,842540.0,36.6,0.0,47697.0,24058.0,13.13,0.0
2010,Iowa,3016267.0,338263.0,38.0,0.0,48872.0,25335.0,11.21,0.0
2010,Kansas,2809329.0,338792.0,36.1,0.0,49424.0,25907.0,12.06,0.0
2010,Kentucky,4285828.0,735782.0,37.7,0.0,41576.0,22515.0,17.17,0.0
2010,Louisiana,4429940.0,780359.0,35.9,0.0,43445.0,23094.0,17.62,0.0
2010,Maine,1327665.0,162358.0,42.0,0.0,46933.0,25385.0,12.23,0.0
2010,Maryland,5696423.0,476732.0,37.6,0.0,70647.0,34849.0,8.37,0.0
2010,Massachusetts,6477096.0,658391.0,38.7,0.0,64509.0,33966.0,10.16,0.0
2010,Michigan,9952687.0,1444004.0,38.1,0.0,48432.0,25135.0,14.51,0.0
2010,Minnesota,5241914.0,542133.0,37.1,0.0,57243.0,29582.0,10.34,0.0
2010,Mississippi,2941991.0,604272.0,35.8,0.0,37881.0,19977.0,20.54,0.0
2010,Missouri,5922314.0,802596.0,37.6,0.0,46262.0,24724.0,13.55,0.0
2010,Montana,973739.0,138109.0,39.7,0.0,43872.0,23836.0,14.18,0.0
2010,Nebraska,1799125.0,206227.0,36.2,0.0,49342.0,25229.0,11.46,0.0
2010,Nevada,2633331.0,308426.0,35.9,0.0,55726.0,27589.0,11.71,0.0
2010,New Hampshire,1313939.0,99527.0,40.3,0.0,63277.0,31422.0,7.57,0.0
2010,New Jersey,8721577.0,777968.0,38.5,0.0,69811.0,34858.0,8.92,0.0
2010,New Mexico,2013122.0,361771.0,36.4,0.0,43820.0,22966.0,17.97,0.0
2010,New York,19229752.0,2650166.0,37.7,0.0,55603.0,30948.0,13.78,0.0
2010,North Carolina,9271178.0,1399945.0,37.1,0.0,45570.0,24745.0,15.1,0.0
2010,North Dakota,659858.0,78405.0,37.2,0.0,46781.0,25803.0,11.88,0.0
2010,Ohio,11512431.0,1586292.0,38.3,0.0,47358.0,25113.0,13.78,0.0
2010,Oklahoma,3675339.0,577247.0,36.3,0.0,42979.0,23094.0,15.71,0.0
2010,Oregon,3761925.0,516271.0,38.1,0.0,49260.0,26171.0,13.72,0.0
2010,Pennsylvania,12612705.0,1509858.0,39.8,0.0,50398.0,27049.0,11.97,0.0
2010,Rhode Island,1056389.0,123396.0,38.9,0.0,54902.0,28707.0,11.68,0.0
2010,South Carolina,4511428.0,716537.0,37.4,0.0,43939.0,23443.0,15.88,0.0
2010,South Dakota,799462.0,105819.0,37.2,0.0,46369.0,24110.0,13.24,0.0
2010,Tennessee,6234968.0,1002467.0,37.6,0.0,43314.0,23722.0,16.08,0.0
2010,Texas,24311891.0,3972054.0,33.4,0.0,49646.0,24870.0,16.34,0.0
2010,Utah,2657236.0,283536.0,28.8,0.0,56330.0,23139.0,10.67,0.0
2010,Vermont,624258.0,66726.0,41.0,0.0,51841.0,27478.0,10.69,0.0
2010,Virginia,7841754.0,781516.0,37.2,0.0,61406.0,32145.0,9.97,0.0
2010,Washington,6561297.0,780009.0,37.0,0.0,57244.0,29733.0,11.89,0.0
2010,West Virginia,1840802.0,310495.0,41.1,0.0,38380.0,21232.0,16.87,0.0
2010,Wisconsin,5637947.0,637613.0,38.1,0.0,51598.0,26624.0,11.31,0.0
2010,Wyoming,545579.0,52297.0,37.0,0.0,53802.0,27860.0,9.59,0.0
2011,Alabama,4747424.0,813385.0,37.7,215543.0,42934.0,23483.0,17.13,4.54
2011,Alaska,700703.0,65111.0,33.8,30932.0,69014.0,31944.0,9.29,4.41
2011,Arizona,6337373.0,1003575.0,35.7,268363.0,50752.0,25784.0,15.84,4.23
2011,Arkansas,2895928.0,516822.0,37.3,114100.0,40149.0,21833.0,17.85,3.94
2011,California,36969200.0,5211481.0,35.1,1868871.0,61632.0,29634.0,14.1,5.06
2011,Colorado,4966061.0,607727.0,35.9,203279.0,57685.0,30816.0,12.24,4.09
2011,Connecticut,3558172.0,326771.0,39.8,163634.0,69243.0,37627.0,9.18,4.6
2011,Delaware,890856.0,96805.0,38.6,35231.0,59317.0,29659.0,10.87,3.95
2011,Florida,18688787.0,2679400.0,40.5,948078.0,47827.0,26733.0,14.34,5.07
2011,Georgia,9600612.0,1541462.0,35.2,469316.0,49736.0,25383.0,16.06,4.89
2011,Hawaii,1346554.0,134387.0,38.4,43274.0,67116.0,29203.0,9.98,3.21
2011,Idaho,1549987.0,216734.0,34.5,59871.0,46890.0,22788.0,13.98,3.86
2011,Illinois,12790182.0,1640428.0,36.4,622727.0,56576.0,29376.0,12.83,4.87
2011,Indiana,6454254.0,885150.0,36.8,294244.0,48393.0,24497.0,13.71,4.56
2011,Iowa,3032266.0,347536.0,38.0,90571.0,50451.0,26110.0,11.46,2.99
2011,Kansas,2830985.0,347184.0,36.1,95489.0,50594.0,26545.0,12.26,3.37
2011,Kentucky,4316040.0,756947.0,37.8,182507.0,42248.0,23033.0,17.54,4.23
2011,Louisiana,4484596.0,800705.0,35.9,172040.0,44086.0,23853.0,17.85,3.84
2011,Maine,1328543.0,165146.0,42.4,50266.0,47898.0,26195.0,12.43,3.78
2011,Maryland,5736545.0,502610.0,37.8,227600.0,72419.0,35751.0,8.76,3.97
2011,Massachusetts,6512227.0,673467.0,38.9,287476.0,65981.0,35051.0,10.34,4.41
2011,Michigan,9920621.0,1518458.0,38.5,601515.0,48669.0,25482.0,15.31,6.06
2011,Minnesota,5278190.0,565154.0,37.3,201649.0,58476.0,30310.0,10.71,3.82
2011,Mississippi,2956700.0,617805.0,35.9,134828.0,38718.0,20521.0,20.9,4.56
2011,Missouri,5955802.0,828615.0,37.7,244812.0,47202.0,25371.0,13.91,4.11
2011,Montana,982854.0,139904.0,39.8,32646.0,45324.0,24640.0,14.23,3.32
2011,Nebraska,1813061.0,211752.0,36.3,54055.0,50695.0,26113.0,11.68,2.98
2011,Nevada,2673396.0,340903.0,36.1,145293.0,55553.0,27625.0,12.75,5.43
2011,New Hampshire,1315911.0,101634.0,40.7,46668.0,64664.0,32357.0,7.72,3.55
2011,New Jersey,8753064.0,805170.0,38.7,402751.0,71180.0,35678.0,9.2,4.6
2011,New Mexico,2037136.0,378301.0,36.5,78901.0,44631.0,23537.0,18.57,3.87
2011,New York,19302448.0,2722107.0,37.8,803436.0,56951.0,31796.0,14.1,4.16
2011,North Carolina,9418736.0,1473556.0,37.3,455742.0,46291.0,25256.0,15.64,4.84
2011,North Dakota,666783.0,78888.0,37.1,12772.0,49415.0,27305.0,11.83,1.92
2011,Ohio,11525536.0,1654193.0,38.5,545888.0,48071.0,25618.0,14.35,4.74
2011,Oklahoma,3714520.0,586046.0,36.3,116866.0,44287.0,23770.0,15.78,3.15
2011,Oregon,3801991.0,550372.0,38.2,191276.0,49850.0,26561.0,14.48,5.03
2011,Pennsylvania,12660739.0,1548869.0,39.9,508654.0,51651.0,27824.0,12.23,4.02
2011,Rhode Island,1053959.0,129454.0,39.1,50461.0,55975.0,29685.0,12.28,4.79
2011,South Carolina,4575864.0,753705.0,37.7,227214.0,44587.0,23854.0,16.47,4.97
2011,South Dakota,807697.0,107337.0,37.1,20958.0,48010.0,24925.0,13.29,2.59
2011,Tennessee,6297991.0,1036199.0,37.8,287097.0,43989.0,24197.0,16.45,4.56
2011,Texas,24774187.0,4120101.0,33.5,890438.0,50920.0,25548.0,16.63,3.59
2011,Utah,2715379.0,304125.0,29.1,87453.0,57783.0,23650.0,11.2,3.22
2011,Vermont,624958.0,67761.0,41.4,22141.0,53422.0,28376.0,10.84,3.54
2011,Virginia,7926192.0,818422.0,37.3,265331.0,63302.0,33040.0,10.33,3.35
2011,Washington,6652845.0,816509.0,37.1,286062.0,58890.0,30481.0,12.27,4.3
2011,West Virginia,1846372.0,313363.0,41.1,62164.0,39550.0,22010.0,16.97,3.37
2011,Wisconsin,5664893.0,661655.0,38.3,219865.0,52374.0,27192.0,11.68,3.88
2011,Wyoming,554697.0,54900.0,36.9,14173.0,56380.0,28952.0,9.9,2.56
2012,Alabama,4777326.0,842292.0,37.8,230778.0,43160.0,23587.0,17.63,4.83
2012,Alaska,711139.0,66631.0,33.8,31369.0,69917.0,32537.0,9.37,4.41
2012,Arizona,6410979.0,1074986.0,36.0,296132.0,50256.0,25571.0,16.77,4.62
2012,Arkansas,2916372.0,530309.0,37.4,117354.0,40531.0,22007.0,18.18,4.02
2012,California,37325068.0,5590100.0,35.2,2059444.0,61400.0,29551.0,14.98,5.52
2012,Colorado,5042853.0,633878.0,36.1,218419.0,58244.0,31039.0,12.57,4.33
2012,Connecticut,3572213.0,344616.0,40.0,177706.0,69519.0,37807.0,9.65,4.97
2012,Delaware,900131.0,100655.0,38.7,38591.0,60119.0,29733.0,11.18,4.29
2012,Florida,18885152.0,2887151.0,40.8,1049899.0,47309.0,26451.0,15.29,5.56
2012,Georgia,9714569.0,1645272.0,35.4,511530.0,49604.0,25309.0,16.94,5.27
2012,Hawaii,1362730.0,143001.0,38.4,46224.0,67492.0,29227.0,10.49,3.39
2012,Idaho,1567803.0,231604.0,34.7,65289.0,47015.0,22581.0,14.77,4.16
2012,Illinois,12823860.0,1710465.0,36.6,663891.0,56853.0,29519.0,13.34,5.18
2012,Indiana,6485530.0,927123.0,37.0,309363.0,48374.0,24558.0,14.3,4.77
2012,Iowa,3047646.0,360670.0,38.0,91676.0,51129.0,26545.0,11.83,3.01
2012,Kansas,2851183.0,365656.0,36.0,100505.0,51273.0,26845.0,12.82,3.53
2012,Kentucky,4340167.0,781485.0,38.0,194610.0,42610.0,23210.0,18.01,4.48
2012,Louisiana,4529605.0,821224.0,35.9,182864.0,44673.0,24264.0,18.13,4.04
2012,Maine,1329084.0,171644.0,42.8,52318.0,48219.0,26464.0,12.91,3.94
2012,Maryland,5785496.0,532116.0,37.9,246720.0,72999.0,36056.0,9.2,4.26
2012,Massachusetts,6560595.0,698286.0,39.1,305515.0,66658.0,35485.0,10.64,4.66
2012,Michigan,9897264.0,1582022.0,38.8,614849.0,48471.0,25547.0,15.98,6.21
2012,Minnesota,5313081.0,582335.0,37.4,207462.0,59126.0,30656.0,10.96,3.9
2012,Mississippi,2967620.0,640132.0,36.0,143126.0,38882.0,20670.0,21.57,4.82
2012,Missouri,5982413.0,869036.0,37.9,259574.0,47333.0,25546.0,14.53,4.34
2012,Montana,990785.0,143119.0,39.9,35541.0,45456.0,25002.0,14.45,3.59
2012,Nebraska,1827306.0,220244.0,36.3,55912.0,51381.0,26523.0,12.05,3.06
2012,Nevada,2704204.0,379197.0,36.3,166416.0,54083.0,27003.0,14.02,6.15
2012,New Hampshire,1317474.0,107800.0,41.1,48926.0,64925.0,32758.0,8.18,3.71
2012,New Jersey,8793888.0,850559.0,38.9,443328.0,71637.0,35928.0,9.67,5.04
2012,New Mexico,2055287.0,393139.0,36.6,88267.0,44886.0,23749.0,19.13,4.29
2012,New York,19398125.0,2814409.0,38.0,869729.0,57683.0,32104.0,14.51,4.48
2012,North Carolina,9544249.0,1563464.0,37.4,497589.0,46450.0,25285.0,16.38,5.21
2012,North Dakota,676253.0,78930.0,36.9,12709.0,51641.0,28700.0,11.67,1.88
2012,Ohio,11533561.0,1723485.0,38.8,569218.0,48246.0,25857.0,14.94,4.94
2012,Oklahoma,3749005.0,602598.0,36.3,122629.0,44891.0,24046.0,16.07,3.27
2012,Oregon,3836628.0,584059.0,38.4,210379.0,50036.0,26702.0,15.22,5.48
2012,Pennsylvania,12699589.0,1604464.0,40.1,548580.0,52267.0,28190.0,12.63,4.32
2012,Rhode Island,1052471.0,133462.0,39.4,53904.0,56102.0,30005.0,12.68,5.12
2012,South Carolina,4630351.0,787788.0,37.9,248835.0,44623.0,23906.0,17.01,5.37
2012,South Dakota,815871.0,108319.0,37.1,21687.0,49091.0,25570.0,13.28,2.66
2012,Tennessee,6353226.0,1069017.0,38.0,304598.0,44140.0,24294.0,16.83,4.79
2012,Texas,25208897.0,4270218.0,33.6,960408.0,51563.0,25809.0,16.94,3.81
2012,Utah,2766233.0,329564.0,29.3,96504.0,58164.0,23794.0,11.91,3.49
2012,Vermont,625498.0,69411.0,41.7,22911.0,54168.0,28846.0,11.1,3.66
2012,Virginia,8014955.0,859032.0,37.4,286994.0,63636.0,33326.0,10.72,3.58
2012,Washington,6738714.0,853960.0,37.2,309049.0,59374.0,30661.0,12.67,4.59
2012,West Virginia,1850481.0,316526.0,41.3,65115.0,40400.0,22482.0,17.11,3.52
2012,Wisconsin,5687219.0,690832.0,38.5,230456.0,52627.0,27426.0,12.15,4.05
2012,Wyoming,562803.0,60636.0,36.9,15537.0,56573.0,28858.0,10.77,2.76
2013,Alabama,4799277.0,870631.0,38.1,241930.0,43253.0,23680.0,18.14,5.04
2013,Alaska,720316.0,69514.0,33.6,32939.0,70760.0,32651.0,9.65,4.57
2013,Arizona,6479703.0,1131901.0,36.3,316360.0,49774.0,25358.0,17.47,4.88
